name,address,price,rating,distance,scraped_at,price_category,rating_category
Apex City Of London Hotel,"City of London, London",526,9.09,,2025-08-02T10:48:42.792061,Luxury,Excellent
"Club Quarters Hotel St Paul's, London","City of London, London",488,8.58,,2025-08-02T10:48:42.793054,Luxury,Very Good
The Mayfair Residence,"Westminster Borough, London",1,7.77,,2025-08-02T10:48:42.797681,Budget,Good
The Adria,"Kensington and Chelsea, London",1,9.19,,2025-08-02T10:48:42.800641,Budget,Excellent
The Cleveland,"Westminster Borough, London",420,8.38,,2025-08-02T10:48:42.801818,Luxury,Very Good
2 Chesham Hotel,"Kensington and Chelsea, London",1,9.19,,2025-08-02T10:48:42.802952,Budget,Excellent
St Giles London – A St Giles Hotel,"Camden, London",387,7.47,,2025-08-02T10:48:42.804997,Luxury,Good
Holiday Inn Express Southwark by IHG,"Southwark, London",491,8.08,,2025-08-02T10:48:42.805993,Luxury,Very Good
Apex Temple Court Hotel,"City of London, London",694,9.19,,2025-08-02T10:48:42.807998,Luxury,Excellent
Cleveland Residences Chelsea,"Kensington and Chelsea, London",490,8.88,,2025-08-02T10:48:42.808998,Luxury,Very Good
Tavistock Hotel,"Camden, London",355,8.18,,2025-08-02T10:48:42.810992,Luxury,Very Good
Princes Square,"Westminster Borough, London",522,8.48,,2025-08-02T10:48:42.814572,Luxury,Very Good
"Radisson Blu Hotel, London Leicester Square","Westminster Borough, London",1,7.87,,2025-08-02T10:48:42.817498,Budget,Good
Wilde Aparthotels London Covent Garden,"Westminster Borough, London",563,8.78,,2025-08-02T10:48:42.818499,Luxury,Very Good
ibis London City - Shoreditch,"Tower Hamlets, London",547,8.08,,2025-08-02T10:48:42.820499,Luxury,Very Good
"Shangri-La The Shard, London","Southwark, London",2,9.29,,2025-08-02T10:48:42.821507,Budget,Excellent
Holiday Inn London Kensington High St. by IHG,"Kensington and Chelsea, London",507,7.67,,2025-08-02T10:48:42.822696,Luxury,Good
Jumeirah Lowndes London,"Kensington and Chelsea, London",2,8.08,,2025-08-02T10:48:42.824713,Budget,Very Good
"The Westminster London, Curio Collection by Hilton","Westminster Borough, London",579,8.58,,2025-08-02T10:48:42.825698,Luxury,Very Good
Novotel London Bridge,"Southwark, London",587,8.68,,2025-08-02T10:48:42.828213,Luxury,Very Good
Ten Manchester Street Hotel,"Westminster Borough, London",628,8.28,,2025-08-02T10:48:42.832246,Luxury,Very Good
"Club Quarters Hotel Trafalgar Square, London","Westminster Borough, London",657,8.58,,2025-08-02T10:48:42.834496,Luxury,Very Good
The LaLit London,"Southwark, London",720,8.98,,2025-08-02T10:48:42.836496,Luxury,Very Good
"Radisson Blu Hotel, London Bloomsbury","Camden, London",762,7.67,,2025-08-02T10:48:42.837496,Luxury,Good
The Londoner,"Westminster Borough, London",1,9.19,,2025-08-02T10:48:42.839495,Budget,Excellent
President Hotel,"Camden, London",409,8.08,,2025-08-02T10:48:42.841497,Luxury,Very Good
The Guardsman - Preferred Hotels and Resorts,"Westminster Borough, London",805,8.98,,2025-08-02T10:48:42.843690,Luxury,Very Good
Cleveland Residences Kensington,"Kensington and Chelsea, London",417,8.68,,2025-08-02T10:48:42.844690,Luxury,Very Good
Phoenix Hotel,"Westminster Borough, London",483,8.38,,2025-08-02T10:48:42.849960,Luxury,Very Good
Citadines Holborn-Covent Garden London,"Camden, London",719,8.58,,2025-08-02T10:48:42.850957,Luxury,Very Good
Studios2Let,"Camden, London",399,7.97,,2025-08-02T10:48:42.852956,Luxury,Good
The Chesterfield Mayfair,"Westminster Borough, London",831,8.98,,2025-08-02T10:48:42.853957,Luxury,Very Good
Chelsea Cloisters Serviced Apartments,"Kensington and Chelsea, London",371,8.08,,2025-08-02T10:48:42.855956,Luxury,Very Good
Hilton London Tower Bridge,"Southwark, London",643,8.78,,2025-08-02T10:48:42.857957,Luxury,Very Good
City Sleeper at Royal National Hotel,"Camden, London",448,8.38,,2025-08-02T10:48:42.858958,Luxury,Very Good
Crowne Plaza London Kings Cross by IHG,"Islington, London",645,8.18,,2025-08-02T10:48:42.860957,Luxury,Very Good
ibis London Blackfriars,"Southwark, London",362,8.18,,2025-08-02T10:48:42.863046,Luxury,Very Good
London Town Hotel,"Kensington and Chelsea, London",361,7.97,,2025-08-02T10:48:42.865797,Luxury,Good
ibis Styles London Gloucester Road,"Kensington and Chelsea, London",483,8.08,,2025-08-02T10:48:42.867797,Luxury,Very Good
DoubleTree by Hilton Hotel London - Tower of London,"City of London, London",693,8.18,,2025-08-02T10:48:42.869827,Luxury,Very Good
Rubens At The Palace,"Westminster Borough, London",992,8.88,,2025-08-02T10:48:42.870826,Luxury,Very Good
Zedwell Piccadilly Circus,"Westminster Borough, London",371,7.77,,2025-08-02T10:48:42.871830,Luxury,Good
Novotel London Tower Bridge,"City of London, London",748,8.78,,2025-08-02T10:48:42.873828,Luxury,Very Good
citizenM London Victoria Station,"Westminster Borough, London",539,8.88,,2025-08-02T10:48:42.876009,Luxury,Very Good
The Lincoln Suites,"Westminster Borough, London",492,9.09,,2025-08-02T10:48:42.878010,Luxury,Excellent
DoubleTree by Hilton London Angel Kings Cross,"Islington, London",492,8.18,,2025-08-02T10:48:42.882579,Luxury,Very Good
Crestfield Hotel,"Camden, London",332,7.97,,2025-08-02T10:48:42.883545,Luxury,Good
"The Park Tower Knightsbridge, a Luxury Collection Hotel, London","Westminster Borough, London",1,7.57,,2025-08-02T10:48:42.885727,Budget,Good
Blakemore Hyde Park,"Westminster Borough, London",508,8.48,,2025-08-02T10:48:42.886760,Luxury,Very Good
Ember Locke Kensington,"Kensington and Chelsea, London",561,8.88,,2025-08-02T10:48:42.888758,Luxury,Very Good
Citadines Trafalgar Square London,"Westminster Borough, London",606,8.28,,2025-08-02T10:48:42.889760,Luxury,Very Good
Ruby Lucy Hotel London,"Lambeth, London",536,8.88,,2025-08-02T10:48:42.891760,Luxury,Very Good
Park Plaza London Westminster Bridge,"Lambeth, London",765,8.48,,2025-08-02T10:48:42.892760,Luxury,Very Good
Macdonald Hotel,"Camden, London",260,7.77,,2025-08-02T10:48:42.895677,Mid-range,Good
Native Mayfair,"Westminster Borough, London",1,8.48,,2025-08-02T10:48:42.899723,Budget,Very Good
Delightful Notting Hill 2 bed House with garden,"Kensington and Chelsea, London",1,9.49,,2025-08-02T10:48:42.901732,Budget,Excellent
Hilton London Metropole,"Westminster Borough, London",630,7.97,,2025-08-02T10:48:42.902730,Luxury,Good
"100 Queen's Gate Hotel London Kensington, Curio Collection by Hilton","Kensington and Chelsea, London",696,8.28,,2025-08-02T10:48:42.904730,Luxury,Very Good
Locke at Broken Wharf,"City of London, London",475,8.98,,2025-08-02T10:48:42.905730,Luxury,Very Good
The Waldorf Hilton,"Westminster Borough, London",847,8.38,,2025-08-02T10:48:42.907966,Luxury,Very Good
Flemings Mayfair - Small Luxury Hotel of the World,"Westminster Borough, London",1,8.98,,2025-08-02T10:48:42.909966,Budget,Very Good
Novotel London Waterloo,"Lambeth, London",616,8.28,,2025-08-02T10:48:42.911480,Luxury,Very Good
Nottingham Place Hotel,"Westminster Borough, London",649,8.28,,2025-08-02T10:48:42.915573,Luxury,Very Good
Park Avenue Bayswater Inn Hyde Park,"Westminster Borough, London",319,6.96,,2025-08-02T10:48:42.917802,Luxury,Fair
DoubleTree by Hilton London Victoria,"Westminster Borough, London",643,8.08,,2025-08-02T10:48:42.919770,Luxury,Very Good
Corinthia London,"Westminster Borough, London",1,9.49,,2025-08-02T10:48:42.920771,Budget,Excellent
"The Rathbone Hotel, Fitzrovia","Westminster Borough, London",581,8.58,,2025-08-02T10:48:42.922799,Luxury,Very Good
London Hilton on Park Lane,"Westminster Borough, London",1,8.18,,2025-08-02T10:48:42.923798,Budget,Very Good
Montcalm Brewery Townhouse,"Islington, London",793,8.08,,2025-08-02T10:48:42.925801,Luxury,Very Good
Hyatt Regency London - The Churchill,"Westminster Borough, London",1,8.68,,2025-08-02T10:48:42.928313,Budget,Very Good
Collingham Place Apartments,"Kensington and Chelsea, London",425,7.07,,2025-08-02T10:48:42.932371,Luxury,Good
Wilde Aparthotels London Paddington,"Westminster Borough, London",576,8.78,,2025-08-02T10:48:42.934372,Luxury,Very Good
The Nayland Hotel,"Westminster Borough, London",369,8.08,,2025-08-02T10:48:42.935359,Luxury,Very Good
Modern 2 Bedroom Flat Near Queensway,"Westminster Borough, London",888,8.48,,2025-08-02T10:48:42.937360,Luxury,Very Good
"Montcalm East, Autograph Collection","Hackney, London",767,9.09,,2025-08-02T10:48:42.939609,Luxury,Excellent
"Inhabit Queen's Gardens, a Member of Design Hotels","Westminster Borough, London",563,8.48,,2025-08-02T10:48:42.941608,Luxury,Very Good
Baker Street Apartments,"Westminster Borough, London",1,8.38,,2025-08-02T10:48:42.943610,Budget,Very Good
nhow London,"Islington, London",636,9.09,,2025-08-02T10:48:42.945834,Luxury,Excellent
The Welbeck Hotel by IHG,"Westminster Borough, London",725,8.88,,2025-08-02T10:48:42.949845,Luxury,Very Good
The BoTree - Preferred Hotels and Resorts,"Westminster Borough, London",1,9.19,,2025-08-02T10:48:42.950871,Budget,Excellent
Strand Palace,"Westminster Borough, London",647,8.48,,2025-08-02T10:48:42.952869,Luxury,Very Good
Park Plaza London Waterloo,"Lambeth, London",640,8.48,,2025-08-02T10:48:42.954870,Luxury,Very Good
Canopy by Hilton London City,"City of London, London",604,8.78,,2025-08-02T10:48:42.956871,Luxury,Very Good
Hotel Indigo London - 1 Leicester Square by IHG,"Westminster Borough, London",707,7.77,,2025-08-02T10:48:42.957880,Luxury,Good
Point A London Liverpool Street,"Tower Hamlets, London",294,7.97,,2025-08-02T10:48:42.959876,Mid-range,Good
George Hotel,"Camden, London",376,7.97,,2025-08-02T10:48:42.963036,Luxury,Good
St Martins Lane London,"Westminster Borough, London",980,8.68,,2025-08-02T10:48:42.966098,Luxury,Very Good
Assembly Leicester Square,"Westminster Borough, London",488,7.97,,2025-08-02T10:48:42.968085,Luxury,Good
The Resident Soho,"Westminster Borough, London",743,8.98,,2025-08-02T10:48:42.970252,Luxury,Very Good
Dreamtel London Kensington,"Kensington and Chelsea, London",326,7.07,,2025-08-02T10:48:42.972254,Luxury,Good
citizenM Southwark Bankside,"Southwark, London",411,8.78,,2025-08-02T10:48:42.975368,Luxury,Very Good
Hampton by Hilton London Waterloo,"Lambeth, London",589,8.28,,2025-08-02T10:48:42.976367,Luxury,Very Good
The Z Hotel Piccadilly,"Westminster Borough, London",504,8.18,,2025-08-02T10:48:42.977871,Luxury,Very Good
Hyatt Regency London Albert Embankment,"Lambeth, London",665,8.58,,2025-08-02T10:48:42.982865,Luxury,Very Good
Point A Kensington Olympia,"Kensington and Chelsea, London",326,7.97,,2025-08-02T10:48:42.984888,Luxury,Good
Sun Street Hotel Shoreditch,"Hackney, London",698,8.98,,2025-08-02T10:48:42.987889,Luxury,Very Good
South Kensington Studios by D'Montrio,"Kensington and Chelsea, London",614,8.18,,2025-08-02T10:48:42.989980,Luxury,Very Good
DoubleTree by Hilton London - Hyde Park,"Kensington and Chelsea, London",541,7.67,,2025-08-02T10:48:42.992199,Luxury,Good
ibis Styles London Southwark - near Borough Market,"Southwark, London",489,8.68,,2025-08-02T10:48:42.994217,Luxury,Very Good
Sloane Place,"Kensington and Chelsea, London",936,8.38,,2025-08-02T10:48:42.998423,Luxury,Very Good
"St. James' Court, A Taj Hotel, London","Westminster Borough, London",932,8.68,,2025-08-02T10:48:43.000418,Luxury,Very Good
The Judd Hotel,"Camden, London",439,7.37,,2025-08-02T10:48:43.002624,Luxury,Good
"The Cumberland, London","Westminster Borough, London",1,8.08,,2025-08-02T10:48:43.005627,Budget,Very Good
The Pearl of Notting Hill,"Kensington and Chelsea, London",1,9.19,,2025-08-02T10:48:43.007626,Budget,Excellent
Meliá London Kensington Member of Meliá Collection,"Kensington and Chelsea, London",850,8.48,,2025-08-02T10:48:43.009626,Luxury,Very Good
Marlin Apartments London Bridge - Empire Square,"Southwark, London",517,8.58,,2025-08-02T10:48:43.015850,Luxury,Very Good
Leonardo Royal Hotel London City - Tower of London,"City of London, London",716,8.78,,2025-08-02T10:48:43.017846,Luxury,Very Good
Royal National Hotel,"Camden, London",397,7.87,,2025-08-02T10:48:43.019851,Luxury,Good
The Melita,"Westminster Borough, London",674,8.68,,2025-08-02T10:48:43.022056,Luxury,Very Good
The Other House South Kensington,"Kensington and Chelsea, London",815,8.88,,2025-08-02T10:48:43.024293,Luxury,Very Good
The Pilgrm,"Westminster Borough, London",436,7.77,,2025-08-02T10:48:43.026292,Luxury,Good
The Bloomsbury Hotel,"Camden, London",943,9.09,,2025-08-02T10:48:43.027833,Luxury,Excellent
The Beaumont Mayfair,"Westminster Borough, London",1,9.49,,2025-08-02T10:48:43.033194,Budget,Excellent
Hotel Saint London,"City of London, London",554,8.78,,2025-08-02T10:48:43.035381,Luxury,Very Good
Zedwell Underground Hotel Tottenham Court Rd,"Camden, London",320,7.47,,2025-08-02T10:48:43.037469,Luxury,Good
The Rookery,"Islington, London",694,9.29,,2025-08-02T10:48:43.040782,Luxury,Excellent
Kimpton Fitzroy London by IHG,"Camden, London",862,8.88,,2025-08-02T10:48:43.042962,Luxury,Very Good
Lancaster Gate Hotel,"Westminster Borough, London",373,7.57,,2025-08-02T10:48:43.044472,Luxury,Good
Royal Eagle Hotel,"Westminster Borough, London",305,7.37,,2025-08-02T10:48:43.049004,Luxury,Good
Merit Kensington Hotel,"Kensington and Chelsea, London",335,7.97,,2025-08-02T10:48:43.051035,Luxury,Good
Hilton London Paddington,"Westminster Borough, London",547,7.97,,2025-08-02T10:48:43.053004,Luxury,Good
Chancery Quarters - 124 Chancery Lane,"Westminster Borough, London",840,8.98,,2025-08-02T10:48:43.055141,Luxury,Very Good
Hampton By Hilton London Old Street,"Hackney, London",420,8.38,,2025-08-02T10:48:43.057141,Luxury,Very Good
Courthouse Hotel London,"Westminster Borough, London",1,8.18,,2025-08-02T10:48:43.058141,Budget,Very Good
Home Grown - Private Member's Club,"Westminster Borough, London",746,8.58,,2025-08-02T10:48:43.060160,Luxury,Very Good
Cosy 2 bedroom Apartment 2 min to Hyde Park,"Westminster Borough, London",1,9.19,,2025-08-02T10:48:43.062354,Budget,Excellent
King's Road Veevo Collection,"Kensington and Chelsea, London",1,8.88,,2025-08-02T10:48:43.064833,Budget,Very Good
YOTEL London City,"Islington, London",461,8.28,,2025-08-02T10:48:43.066824,Luxury,Very Good
Staybridge Suites London-Vauxhall by IHG,"Lambeth, London",654,9.19,,2025-08-02T10:48:43.069093,Luxury,Excellent
Holiday Inn London - Regent's Park by IHG,"Westminster Borough, London",502,8.28,,2025-08-02T10:48:43.070798,Luxury,Very Good
"The Marble Arch Hotel, by Thistle","Westminster Borough, London",1,7.67,,2025-08-02T10:48:43.072497,Budget,Good
Hotel Indigo London - Kensington by IHG,"Kensington and Chelsea, London",493,8.28,,2025-08-02T10:48:43.074165,Luxury,Very Good
