name,address,price,rating,distance,scraped_at,price_category,rating_category
Bob W Hyde Park,"Westminster Borough, London",439,8.38,,2025-08-02T10:48:42.758915,Luxury,Very Good
Ruby Stella Hotel London,"Camden, London",671,8.88,,2025-08-02T10:48:42.760922,Luxury,Very Good
The Dilly,"Westminster Borough, London",805,8.38,,2025-08-02T10:48:42.763374,Luxury,Very Good
citizenM Tower of London,"City of London, London",453,8.78,,2025-08-02T10:48:42.764368,Luxury,Very Good
"The May Fair, A Radisson Collection Hotel, Mayfair London","Westminster Borough, London",1,8.38,,2025-08-02T10:48:42.766363,Budget,Very Good
"Montcalm Royal London House, London City","Islington, London",639,8.48,,2025-08-02T10:48:42.767368,Luxury,Very Good
"Club Quarters Hotel Covent Garden Holborn, London","Camden, London",592,8.48,,2025-08-02T10:48:42.769625,Luxury,Very Good
The Grand at Trafalgar Square,"Westminster Borough, London",657,8.48,,2025-08-02T10:48:42.771629,Luxury,Very Good
"Montcalm Brewery, London City","City of London, London",398,8.08,,2025-08-02T10:48:42.772620,Luxury,Very Good
Virgin Hotels London - Shoreditch,"Hackney, London",960,8.68,,2025-08-02T10:48:42.774628,Luxury,Very Good
The Beaufort,"Kensington and Chelsea, London",769,7.77,,2025-08-02T10:48:42.776621,Luxury,Good
The Cavendish London,"Westminster Borough, London",744,8.38,,2025-08-02T10:48:42.779655,Luxury,Very Good
"Radisson Blu Hotel, London South Kensington","Kensington and Chelsea, London",638,7.17,,2025-08-02T10:48:42.782841,Luxury,Good
Leonardo Royal London St Paul’s,"City of London, London",662,8.78,,2025-08-02T10:48:42.784869,Luxury,Very Good
NYX Hotel London Holborn by Leonardo Hotels,"Camden, London",708,8.58,,2025-08-02T10:48:42.786866,Luxury,Very Good
"art'otel London Battersea Power Station, Powered by Radisson Hotels","Wandsworth, London",1,8.88,,2025-08-02T10:48:42.788867,Budget,Very Good
"Club Quarters Hotel London City, London","City of London, London",463,8.48,,2025-08-02T10:48:42.789867,Luxury,Very Good
