name,address,price,rating,distance,scraped_at,price_category,rating_category
Crestfield Hotel,"Camden, London",332,7.97,,2025-08-02T12:33:31.809421,Luxury,Good
Blakemore Hyde Park,"Westminster Borough, London",512,8.48,,2025-08-02T12:33:31.812102,Luxury,Very Good
Ember Locke Kensington,"Kensington and Chelsea, London",560,8.88,,2025-08-02T12:33:31.816544,Luxury,Very Good
Ruby Lucy Hotel London,"Lambeth, London",524,8.88,,2025-08-02T12:33:31.817575,Luxury,Very Good
Park Plaza London Westminster Bridge,"Lambeth, London",765,8.48,,2025-08-02T12:33:31.819618,Luxury,Very Good
Macdonald Hotel,"Camden, London",260,7.77,,2025-08-02T12:33:31.821623,Mid-range,Good
Native Mayfair,"Westminster Borough, London",1,8.48,,2025-08-02T12:33:31.822788,Budget,Very Good
Delightful Notting Hill 2 bed House with garden,"Kensington and Chelsea, London",1,9.49,,2025-08-02T12:33:31.824847,Budget,Excellent
Hilton London Metropole,"Westminster Borough, London",630,7.97,,2025-08-02T12:33:31.826830,Luxury,Good
"100 Queen's Gate Hotel London Kensington, Curio Collection by Hilton","Kensington and Chelsea, London",676,8.28,,2025-08-02T12:33:31.829367,Luxury,Very Good
Locke at Broken Wharf,"City of London, London",475,8.98,,2025-08-02T12:33:31.833422,Luxury,Very Good
The Waldorf Hilton,"Westminster Borough, London",847,8.38,,2025-08-02T12:33:31.834498,Luxury,Very Good
Flemings Mayfair - Small Luxury Hotel of the World,"Westminster Borough, London",1,8.98,,2025-08-02T12:33:31.836546,Budget,Very Good
Novotel London Waterloo,"Lambeth, London",598,8.28,,2025-08-02T12:33:31.838542,Luxury,Very Good
Nottingham Place Hotel,"Westminster Borough, London",635,8.28,,2025-08-02T12:33:31.839549,Luxury,Very Good
Park Avenue Bayswater Inn Hyde Park,"Westminster Borough, London",330,6.96,,2025-08-02T12:33:31.841544,Luxury,Fair
DoubleTree by Hilton London Victoria,"Westminster Borough, London",638,8.08,,2025-08-02T12:33:31.842544,Luxury,Very Good
Corinthia London,"Westminster Borough, London",1,9.49,,2025-08-02T12:33:31.845209,Budget,Excellent
"The Rathbone Hotel, Fitzrovia","Westminster Borough, London",595,8.58,,2025-08-02T12:33:31.848927,Luxury,Very Good
London Hilton on Park Lane,"Westminster Borough, London",1,8.18,,2025-08-02T12:33:31.851013,Budget,Very Good
Montcalm Brewery Townhouse,"Islington, London",776,8.08,,2025-08-02T12:33:31.853160,Luxury,Very Good
Wilde Aparthotels London Paddington,"Westminster Borough, London",580,8.78,,2025-08-02T12:33:31.854318,Luxury,Very Good
The Nayland Hotel,"Westminster Borough, London",369,8.08,,2025-08-02T12:33:31.855364,Luxury,Very Good
"Montcalm East, Autograph Collection","Hackney, London",767,9.09,,2025-08-02T12:33:31.857367,Luxury,Excellent
"Inhabit Queen's Gardens, a Member of Design Hotels","Westminster Borough, London",563,8.48,,2025-08-02T12:33:31.859362,Luxury,Very Good
Baker Street Apartments,"Westminster Borough, London",1,8.38,,2025-08-02T12:33:31.860364,Budget,Very Good
nhow London,"Islington, London",637,9.09,,2025-08-02T12:33:31.862892,Luxury,Excellent
The Welbeck Hotel by IHG,"Westminster Borough, London",725,8.88,,2025-08-02T12:33:31.867228,Luxury,Very Good
The BoTree - Preferred Hotels and Resorts,"Westminster Borough, London",1,9.19,,2025-08-02T12:33:31.868464,Budget,Excellent
Strand Palace,"Westminster Borough, London",633,8.48,,2025-08-02T12:33:31.870447,Luxury,Very Good
Park Plaza London Waterloo,"Lambeth, London",640,8.48,,2025-08-02T12:33:31.871446,Luxury,Very Good
Canopy by Hilton London City,"City of London, London",608,8.78,,2025-08-02T12:33:31.873447,Luxury,Very Good
Bob W Hyde Park,"Westminster Borough, London",430,8.38,,2025-08-02T12:33:31.874448,Luxury,Very Good
Hotel Indigo London - 1 Leicester Square by IHG,"Westminster Borough, London",707,7.77,,2025-08-02T12:33:31.876588,Luxury,Good
Point A London Liverpool Street,"Tower Hamlets, London",294,7.97,,2025-08-02T12:33:31.878104,Mid-range,Good
George Hotel,"Camden, London",368,7.97,,2025-08-02T12:33:31.882193,Luxury,Good
St Martins Lane London,"Westminster Borough, London",980,8.68,,2025-08-02T12:33:31.884196,Luxury,Very Good
Assembly Leicester Square,"Westminster Borough, London",478,7.97,,2025-08-02T12:33:31.886239,Luxury,Good
citizenM Southwark Bankside,"Southwark, London",411,8.78,,2025-08-02T12:33:31.887244,Luxury,Very Good
Hampton by Hilton London Waterloo,"Lambeth, London",589,8.28,,2025-08-02T12:33:31.889236,Luxury,Very Good
The Z Hotel Piccadilly,"Westminster Borough, London",493,8.18,,2025-08-02T12:33:31.890241,Luxury,Very Good
Hyatt Regency London Albert Embankment,"Lambeth, London",665,8.58,,2025-08-02T12:33:31.892241,Luxury,Very Good
Point A Kensington Olympia,"Kensington and Chelsea, London",296,7.97,,2025-08-02T12:33:31.893238,Mid-range,Good
Sun Street Hotel Shoreditch,"Hackney, London",683,8.98,,2025-08-02T12:33:31.895804,Luxury,Very Good
South Kensington Studios by D'Montrio,"Kensington and Chelsea, London",653,8.18,,2025-08-02T12:33:31.896848,Luxury,Very Good
ibis Styles London Southwark - near Borough Market,"Southwark, London",489,8.68,,2025-08-02T12:33:31.899011,Luxury,Very Good
Sloane Place,"Kensington and Chelsea, London",936,8.38,,2025-08-02T12:33:31.900271,Luxury,Very Good
The Judd Hotel,"Camden, London",432,7.37,,2025-08-02T12:33:31.901312,Luxury,Good
"The Cumberland, London","Westminster Borough, London",1,8.08,,2025-08-02T12:33:31.903321,Budget,Very Good
The Pearl of Notting Hill,"Kensington and Chelsea, London",1,9.19,,2025-08-02T12:33:31.904317,Budget,Excellent
Meliá London Kensington Member of Meliá Collection,"Kensington and Chelsea, London",850,8.48,,2025-08-02T12:33:31.906317,Luxury,Very Good
Marlin Apartments London Bridge - Empire Square,"Southwark, London",517,8.58,,2025-08-02T12:33:31.907312,Luxury,Very Good
Leonardo Royal Hotel London City - Tower of London,"City of London, London",716,8.78,,2025-08-02T12:33:31.909453,Luxury,Very Good
Royal National Hotel,"Camden, London",368,7.87,,2025-08-02T12:33:31.909453,Luxury,Good
The Melita,"Westminster Borough, London",462,8.68,,2025-08-02T12:33:31.913027,Luxury,Very Good
The Other House South Kensington,"Kensington and Chelsea, London",797,8.88,,2025-08-02T12:33:31.917892,Luxury,Very Good
The Pilgrm,"Westminster Borough, London",420,7.77,,2025-08-02T12:33:31.919065,Luxury,Good
The Beaumont Mayfair,"Westminster Borough, London",1,9.49,,2025-08-02T12:33:31.921068,Budget,Excellent
Hotel Saint London,"City of London, London",554,8.78,,2025-08-02T12:33:31.922069,Luxury,Very Good
Zedwell Underground Hotel Tottenham Court Rd,"Camden, London",320,7.47,,2025-08-02T12:33:31.924068,Luxury,Good
The Rookery,"Islington, London",694,9.29,,2025-08-02T12:33:31.925066,Luxury,Excellent
Kimpton Fitzroy London by IHG,"Camden, London",839,8.88,,2025-08-02T12:33:31.927607,Luxury,Very Good
Lancaster Gate Hotel,"Westminster Borough, London",373,7.57,,2025-08-02T12:33:31.931911,Luxury,Good
Royal Eagle Hotel,"Westminster Borough, London",299,7.37,,2025-08-02T12:33:31.933962,Mid-range,Good
Merit Kensington Hotel,"Kensington and Chelsea, London",335,7.97,,2025-08-02T12:33:31.934503,Luxury,Good
Hilton London Paddington,"Westminster Borough, London",547,7.97,,2025-08-02T12:33:31.936546,Luxury,Good
Courthouse Hotel London,"Westminster Borough, London",1,8.18,,2025-08-02T12:33:31.938551,Budget,Very Good
Home Grown - Private Member's Club,"Westminster Borough, London",746,8.58,,2025-08-02T12:33:31.939544,Luxury,Very Good
Cosy 2 bedroom Apartment 2 min to Hyde Park,"Westminster Borough, London",1,9.19,,2025-08-02T12:33:31.941702,Budget,Excellent
King's Road Veevo Collection,"Kensington and Chelsea, London",1,8.88,,2025-08-02T12:33:31.943701,Budget,Very Good
Staybridge Suites London-Vauxhall by IHG,"Lambeth, London",654,9.19,,2025-08-02T12:33:31.945256,Luxury,Excellent
Holiday Inn London - Regent's Park by IHG,"Westminster Borough, London",502,8.28,,2025-08-02T12:33:31.951096,Luxury,Very Good
"The Marble Arch Hotel, by Thistle","Westminster Borough, London",1,7.67,,2025-08-02T12:33:31.952053,Budget,Good
Hotel Indigo London - Kensington by IHG,"Kensington and Chelsea, London",493,8.28,,2025-08-02T12:33:31.954087,Luxury,Very Good
"St. Pancras London, Autograph Collection","Camden, London",902,8.08,,2025-08-02T12:33:31.956082,Luxury,Very Good
Chapter Spitalfields in London,"Tower Hamlets, London",306,7.77,,2025-08-02T12:33:31.957082,Luxury,Good
citizenM London Shoreditch,"Hackney, London",424,8.78,,2025-08-02T12:33:31.959083,Luxury,Very Good
Pullman London St Pancras,"Camden, London",610,8.68,,2025-08-02T12:33:31.961090,Luxury,Very Good
Fountain House Apartments - London,"Westminster Borough, London",2,9.39,,2025-08-02T12:33:31.965499,Budget,Excellent
Sanderson London,"Westminster Borough, London",1,8.08,,2025-08-02T12:33:31.968026,Budget,Very Good
"The Hoxton, Southwark","Southwark, London",609,8.78,,2025-08-02T12:33:31.969072,Luxury,Very Good
Prince William Hotel,"Westminster Borough, London",356,7.47,,2025-08-02T12:33:31.971074,Luxury,Good
"Hyde Park,3 min walk,Family home! 2 Bedrooms & 2 Bathrooms Apartment! Fantastic Location","Westminster Borough, London",957,9.19,,2025-08-02T12:33:31.972068,Luxury,Excellent
1 Hotel Mayfair,"Westminster Borough, London",1,9.19,,2025-08-02T12:33:31.974068,Budget,Excellent
The Dorchester - Dorchester Collection,"Westminster Borough, London",3,9.59,,2025-08-02T12:33:31.976074,Budget,Excellent
"Airy, 3 bedrooms, ensuite , central London flat","Southwark, London",1,9.29,,2025-08-02T12:33:31.978588,Budget,Excellent
Park Grand Paddington Court,"Westminster Borough, London",402,7.27,,2025-08-02T12:33:31.981167,Luxury,Good
The Heart of Notting Hill,"Kensington and Chelsea, London",1,8.78,,2025-08-02T12:33:31.982417,Budget,Very Good
Chapter Old Street in London,"Hackney, London",336,7.57,,2025-08-02T12:33:31.984461,Luxury,Good
Crane Court by City2Stay,"City of London, London",634,8.58,,2025-08-02T12:33:31.985465,Luxury,Very Good
Grand Royale Hyde Park,"Westminster Borough, London",544,7.47,,2025-08-02T12:33:31.987459,Luxury,Good
Hyatt Regency London Blackfriars,"City of London, London",868,8.58,,2025-08-02T12:33:31.988459,Luxury,Very Good
