name,address,price,rating,distance,scraped_at,price_category,rating_category
Charming 3BR by Redcliffe Gdns,"Kensington and Chelsea, London",961,8.48,,2025-08-02T12:33:31.691919,Luxury,Very Good
"The Henry Hotel Bayswater, Sonder by Marriott Bonvoy","Westminster Borough, London",479,8.18,,2025-08-02T12:33:31.693061,Luxury,Very Good
Ruby Stella Hotel London,"Camden, London",671,8.88,,2025-08-02T12:33:31.695866,Luxury,Very Good
"Radisson Blu Hotel, London Tottenham Court Road","Camden, London",604,7.37,,2025-08-02T12:33:31.699979,Luxury,Good
The Dilly,"Westminster Borough, London",832,8.38,,2025-08-02T12:33:31.701981,Luxury,Very Good
Park Grand London Kensington,"Kensington and Chelsea, London",471,7.47,,2025-08-02T12:33:31.703978,Luxury,Good
citizenM Tower of London,"City of London, London",453,8.78,,2025-08-02T12:33:31.706186,Luxury,Very Good
"The May Fair, A Radisson Collection Hotel, Mayfair London","Westminster Borough, London",1,8.38,,2025-08-02T12:33:31.707186,Budget,Very Good
"Montcalm Royal London House, London City","Islington, London",688,8.48,,2025-08-02T12:33:31.709185,Luxury,Very Good
"Club Quarters Hotel Covent Garden Holborn, London","Camden, London",457,8.48,,2025-08-02T12:33:31.711702,Luxury,Very Good
The Grand at Trafalgar Square,"Westminster Borough, London",643,8.48,,2025-08-02T12:33:31.715710,Luxury,Very Good
"Montcalm Brewery, London City","City of London, London",376,8.08,,2025-08-02T12:33:31.717709,Luxury,Very Good
Virgin Hotels London - Shoreditch,"Hackney, London",939,8.68,,2025-08-02T12:33:31.719704,Luxury,Very Good
The Cavendish London,"Westminster Borough, London",744,8.38,,2025-08-02T12:33:31.720702,Luxury,Very Good
"Radisson Blu Hotel, London South Kensington","Kensington and Chelsea, London",638,7.17,,2025-08-02T12:33:31.722703,Luxury,Good
Leonardo Royal London St Paul’s,"City of London, London",662,8.78,,2025-08-02T12:33:31.724700,Luxury,Very Good
NYX Hotel London Holborn by Leonardo Hotels,"Camden, London",708,8.58,,2025-08-02T12:33:31.725858,Luxury,Very Good
"art'otel London Battersea Power Station, Powered by Radisson Hotels","Wandsworth, London",1,8.88,,2025-08-02T12:33:31.728641,Budget,Very Good
"Club Quarters Hotel London City, London","City of London, London",463,8.48,,2025-08-02T12:33:31.732684,Luxury,Very Good
"Club Quarters Hotel St Paul's, London","City of London, London",537,8.58,,2025-08-02T12:33:31.734684,Luxury,Very Good
The Mayfair Residence,"Westminster Borough, London",1,7.67,,2025-08-02T12:33:31.735684,Budget,Good
The Cleveland,"Westminster Borough, London",411,8.38,,2025-08-02T12:33:31.737851,Luxury,Very Good
2 Chesham Hotel,"Kensington and Chelsea, London",1,9.19,,2025-08-02T12:33:31.738853,Budget,Excellent
St Giles London – A St Giles Hotel,"Camden, London",379,7.47,,2025-08-02T12:33:31.739852,Luxury,Good
Holiday Inn Express Southwark by IHG,"Southwark, London",491,8.08,,2025-08-02T12:33:31.741839,Luxury,Very Good
Apex Temple Court Hotel,"City of London, London",588,9.19,,2025-08-02T12:33:31.742859,Luxury,Excellent
Cleveland Residences Chelsea,"Kensington and Chelsea, London",479,8.88,,2025-08-02T12:33:31.748780,Luxury,Very Good
Tavistock Hotel,"Camden, London",355,8.18,,2025-08-02T12:33:31.749791,Luxury,Very Good
Princes Square,"Westminster Borough, London",511,8.48,,2025-08-02T12:33:31.751806,Luxury,Very Good
"Radisson Blu Hotel, London Leicester Square","Westminster Borough, London",1,7.87,,2025-08-02T12:33:31.753828,Budget,Good
Wilde Aparthotels London Covent Garden,"Westminster Borough, London",573,8.78,,2025-08-02T12:33:31.754825,Luxury,Very Good
ibis London City - Shoreditch,"Tower Hamlets, London",544,8.08,,2025-08-02T12:33:31.756808,Luxury,Very Good
"Shangri-La The Shard, London","Southwark, London",2,9.29,,2025-08-02T12:33:31.759013,Budget,Excellent
Holiday Inn London Kensington High St. by IHG,"Kensington and Chelsea, London",507,7.67,,2025-08-02T12:33:31.760013,Luxury,Good
Jumeirah Lowndes London,"Kensington and Chelsea, London",2,8.08,,2025-08-02T12:33:31.763978,Budget,Very Good
"The Westminster London, Curio Collection by Hilton","Westminster Borough, London",579,8.58,,2025-08-02T12:33:31.766038,Luxury,Very Good
Novotel London Bridge,"Southwark, London",587,8.68,,2025-08-02T12:33:31.768036,Luxury,Very Good
Ten Manchester Street Hotel,"Westminster Borough, London",633,8.28,,2025-08-02T12:33:31.769187,Luxury,Very Good
The LaLit London,"Southwark, London",720,8.98,,2025-08-02T12:33:31.771188,Luxury,Very Good
"Radisson Blu Hotel, London Bloomsbury","Camden, London",771,7.67,,2025-08-02T12:33:31.773188,Luxury,Good
The Londoner,"Westminster Borough, London",1,9.19,,2025-08-02T12:33:31.774193,Budget,Excellent
President Hotel,"Camden, London",426,8.08,,2025-08-02T12:33:31.776188,Luxury,Very Good
The Guardsman - Preferred Hotels and Resorts,"Westminster Borough, London",805,8.98,,2025-08-02T12:33:31.778751,Luxury,Very Good
Cleveland Residences Kensington,"Kensington and Chelsea, London",422,8.68,,2025-08-02T12:33:31.779990,Luxury,Very Good
Citadines Holborn-Covent Garden London,"Camden, London",719,8.58,,2025-08-02T12:33:31.782020,Luxury,Very Good
Studios2Let,"Camden, London",399,7.97,,2025-08-02T12:33:31.783026,Luxury,Good
The Chesterfield Mayfair,"Westminster Borough, London",831,8.98,,2025-08-02T12:33:31.785020,Luxury,Very Good
Chelsea Cloisters Serviced Apartments,"Kensington and Chelsea, London",337,8.08,,2025-08-02T12:33:31.786017,Luxury,Very Good
Hilton London Tower Bridge,"Southwark, London",643,8.78,,2025-08-02T12:33:31.788022,Luxury,Very Good
City Sleeper at Royal National Hotel,"Camden, London",482,8.38,,2025-08-02T12:33:31.789026,Luxury,Very Good
Crowne Plaza London Kings Cross by IHG,"Islington, London",645,8.18,,2025-08-02T12:33:31.790252,Luxury,Very Good
ibis London Blackfriars,"Southwark, London",362,8.18,,2025-08-02T12:33:31.792247,Luxury,Very Good
London Town Hotel,"Kensington and Chelsea, London",372,7.97,,2025-08-02T12:33:31.793248,Luxury,Good
ibis Styles London Gloucester Road,"Kensington and Chelsea, London",470,8.08,,2025-08-02T12:33:31.796822,Luxury,Very Good
DoubleTree by Hilton Hotel London - Tower of London,"City of London, London",693,8.18,,2025-08-02T12:33:31.799789,Luxury,Very Good
Rubens At The Palace,"Westminster Borough, London",992,8.88,,2025-08-02T12:33:31.800963,Luxury,Very Good
Zedwell Piccadilly Circus,"Westminster Borough, London",367,7.77,,2025-08-02T12:33:31.802008,Luxury,Good
Novotel London Tower Bridge,"City of London, London",779,8.78,,2025-08-02T12:33:31.804012,Luxury,Very Good
citizenM London Victoria Station,"Westminster Borough, London",539,8.88,,2025-08-02T12:33:31.805010,Luxury,Very Good
The Lincoln Suites,"Westminster Borough, London",492,9.09,,2025-08-02T12:33:31.807456,Luxury,Excellent
DoubleTree by Hilton London Angel Kings Cross,"Islington, London",541,8.18,,2025-08-02T12:33:31.809421,Luxury,Very Good
